Time,Latitude,Longitude
198.0,36.05330379,-86.98567681
200.0,36.05342092,-86.9858687
202.0,36.05353801,-86.98608304
204.0,36.05369419,-86.98631305
206.0,36.05383503,-86.98655594
208.0,36.05396273,-86.98683595
210.0,36.05405809,-86.98715238
212.0,36.05415805,-86.98748207
214.0,36.0542493,-86.98782259
216.0,36.054368,-86.98820095
218.0,36.05451792,-86.988521
220.0,36.05470813,-86.98878441
222.0,36.05495912,-86.98897616
224.0,36.05521192,-86.98909314
226.0,36.05549184,-86.98920161
228.0,36.0557908,-86.98927025
230.0,36.05609928,-86.98931627
232.0,36.0564141,-86.98935832
234.0,36.05673804,-86.98943382
235.0,36.05692446,-86.98945264
237.0,36.05727613,-86.98951827
238.0,36.05745974,-86.98954808
239.0,36.05763961,-86.98958174
240.0,36.0578237,-86.98962454
241.0,36.05800838,-86.98965169
242.0,36.05818756,-86.98969957
244.0,36.05852438,-86.98977504
246.0,36.05885663,-86.98990886
248.0,36.05916453,-86.99011209
250.0,36.05945453,-86.9903238
252.0,36.05973885,-86.99051013
254.0,36.06000237,-86.99067415
256.0,36.06031955,-86.99082542
258.0,36.06066073,-86.99088944
260.0,36.06099387,-86.99095964
262.0,36.06129782,-86.99104788
264.0,36.06161265,-86.99119943
266.0,36.06182243,-86.99142838
267.0,36.06193203,-86.99160896
269.0,36.06211379,-86.99195092
271.0,36.06220981,-86.99236409
273.0,36.06230124,-86.99274334
275.0,36.0624288,-86.99309314
277.0,36.06258661,-86.99343726
279.0,36.06282261,-86.99375858
281.0,36.06309708,-86.99400824
282.0,36.06326178,-86.9941051
284.0,36.06359833,-86.99429029
286.0,36.06391145,-86.99443526
288.0,36.06423185,-86.99459423
290.0,36.06452507,-86.99478776
292.0,36.06479163,-86.99502952
294.0,36.06503886,-86.99531493
295.0,36.06517766,-86.99549216
297.0,36.06540825,-86.995829
299.0,36.06562576,-86.9961772
300.0,36.06574177,-86.99635696
301.0,36.0658509,-86.99653754
303.0,36.06606227,-86.99689267
304.0,36.06617182,-86.99707478
306.0,36.06638386,-86.99743288
308.0,36.06659761,-86.99777405
310.0,36.06681118,-86.99809625
312.0,36.06701304,-86.9984347
314.0,36.06723019,-86.99877652
316.0,36.06746173,-86.99910387
317.0,36.06760511,-86.99925323
319.0,36.06787128,-86.99954405
320.0,36.06803306,-86.99969646
322.0,36.06830526,-86.99997346
324.0,36.06858932,-87.00025668
325.0,36.06873505,-87.00039971
326.0,36.06887801,-87.00054231
327.0,36.06902333,-87.00068225
328.0,36.06916632,-87.00082431
330.0,36.06948109,-87.00111862
331.0,36.06962001,-87.00126857
333.0,36.06986568,-87.00157091
335.0,36.07011407,-87.00189338
337.0,36.07032723,-87.00223217
339.0,36.0705265,-87.00256371
341.0,36.07071388,-87.00289141
343.0,36.07089904,-87.00323555
345.0,36.07107687,-87.00359514
347.0,36.07125345,-87.00394857
349.0,36.07141693,-87.00430875
351.0,36.0716022,-87.00465239
353.0,36.07180695,-87.00496397
355.0,36.07203663,-87.00523764
357.0,36.0722735,-87.00549563
359.0,36.07251176,-87.00575098
361.0,36.07271728,-87.00599701
363.0,36.07290863,-87.0062877
365.0,36.07310591,-87.00660404
367.0,36.07327362,-87.00694477
369.0,36.07343399,-87.0072848
371.0,36.07356246,-87.00766287
373.0,36.07368331,-87.00807425
375.0,36.07376157,-87.00850086
376.0,36.07380032,-87.00872306
377.0,36.0738246,-87.00894714
378.0,36.07384193,-87.00918056
379.0,36.07385899,-87.00941423
380.0,36.0738759,-87.00964997
381.0,36.07389248,-87.00988297
382.0,36.073898,-87.01011529
383.0,36.07391736,-87.0103421
385.0,36.07395787,-87.01078541
387.0,36.07401097,-87.01120357
389.0,36.07407969,-87.01160804
391.0,36.07418989,-87.01202362
393.0,36.07429742,-87.01244624
395.0,36.07440049,-87.01286803
397.0,36.07448724,-87.01330471
398.0,36.07453607,-87.01353302
399.0,36.07458701,-87.01376233
400.0,36.07463689,-87.01398466
401.0,36.07468901,-87.01420504
403.0,36.07480108,-87.01463281
405.0,36.07494039,-87.01502515
407.0,36.07509716,-87.01540157
409.0,36.07525435,-87.01573227
411.0,36.07543267,-87.01608258
413.0,36.07560306,-87.01641113
415.0,36.07577552,-87.01675212
417.0,36.07595176,-87.01711114
419.0,36.07611781,-87.01746648
421.0,36.07624017,-87.01780354
423.0,36.07633741,-87.01809864
425.0,36.07644001,-87.01829451
429.0,36.07666627,-87.01831034
432.0,36.07676661,-87.01811383
